gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC409324,38.66,49.83,52.70,30.92,33.38,47.48,29.05,39.00,32.22,35.85,46.18,39.77,37.83,52.30,66.36,47.16,54.45,63.92,45.78,68.56,72.80,80.83,44.27,49.35,42.51
LOC409327,7.74,5.66,4.26,6.66,8.01,4.65,2.64,4.42,3.43,7.68,4.00,2.60,6.50,6.04,3.59,4.32,1.58,1.94,2.50,1.44,1.59,2.40,2.95,3.71,4.05
LOC409326,1491.04,1753.02,3490.83,1425.88,1293.23,2017.91,1535.16,2170.69,1843.45,1315.62,1560.43,1406.05,1395.51,914.45,2147.83,1023.29,1319.77,1108.82,1356.56,1231.95,1538.86,1612.17,1503.83,1172.45,1347.35
LOC409321,8.75,12.16,24.65,13.25,9.54,12.03,7.28,6.17,7.73,12.76,11.53,8.05,8.90,8.07,16.37,15.55,14.69,11.55,11.81,14.77,23.65,16.32,9.19,5.14,8.23
LOC409320,20.21,25.62,87.40,18.72,12.52,18.67,12.12,20.42,13.79,19.46,26.80,18.17,14.79,19.48,52.96,26.04,44.22,35.02,32.84,78.62,103.14,81.54,27.34,19.63,19.86
LOC409323,6.10,10.08,15.98,7.03,6.37,7.99,6.11,6.05,7.97,9.22,12.04,7.95,9.29,6.21,13.01,12.73,11.19,11.11,11.25,13.98,18.03,15.19,10.22,7.06,7.62
LOC409322,9.96,14.64,20.31,8.72,12.58,10.54,7.44,7.89,9.54,17.96,12.87,9.90,12.94,17.14,6.76,17.19,12.09,14.58,14.10,17.93,18.62,18.38,12.57,11.81,11.42
LOC726600,0.17,0.33,1.05,0.20,0.36,0.73,0.44,0.33,0.82,0.93,0.73,0.58,0.69,0.00,0.30,0.64,0.35,0.00,0.14,0.26,0.19,0.13,0.69,0.25,0.62
LOC726601,47.90,64.93,43.36,58.69,54.37,56.64,49.93,41.50,53.30,59.37,59.68,64.30,65.70,25.48,41.23,54.08,39.38,53.68,66.02,47.94,31.69,23.38,55.18,46.19,56.43
LOC726602,3.91,4.26,4.12,3.73,6.27,3.15,2.20,2.70,1.95,4.95,5.03,1.82,3.24,3.22,0.91,5.51,2.62,2.85,3.83,4.05,3.67,3.85,3.16,4.40,4.45
LOC409329,359.81,252.71,145.82,223.56,167.12,196.52,151.17,312.41,151.36,213.48,176.45,223.27,195.37,136.72,359.95,164.66,149.14,172.15,268.97,236.68,171.39,147.22,206.09,232.71,174.79
LOC726605,2.15,5.51,4.24,0.42,4.26,4.05,2.17,2.12,2.51,5.01,5.78,3.43,6.64,6.26,4.03,4.78,5.65,6.14,6.40,7.55,9.56,7.57,3.85,4.07,5.71
LOC726606,0.48,0.64,0.39,0.75,1.20,0.59,0.25,0.93,0.00,0.00,0.59,0.35,2.13,2.98,0.85,1.24,1.70,1.20,0.21,0.82,0.93,0.79,1.46,0.18,0.88
LOC410860,64.05,68.16,86.93,43.35,65.03,69.72,36.32,27.70,39.37,86.20,44.03,37.26,47.80,93.91,20.31,69.37,43.83,82.25,32.46,43.97,45.68,44.10,36.42,29.55,49.01
Nedd9,9.51,8.76,37.57,3.46,3.49,3.11,2.52,2.54,7.39,19.27,8.53,3.66,10.90,22.23,19.41,21.85,40.36,16.32,12.13,29.09,53.53,58.25,12.64,3.71,7.13
LOC410862,23.38,33.03,49.64,21.66,26.04,58.67,25.72,9.44,22.16,73.32,30.88,42.45,26.16,52.58,32.18,50.97,50.25,53.64,48.96,52.38,78.35,62.34,39.59,19.71,30.12
LOC410863,7.61,10.24,15.98,6.34,4.11,4.51,2.21,4.52,4.35,9.60,7.60,3.80,7.29,14.43,8.11,13.25,15.26,14.97,12.13,26.03,38.12,27.83,9.13,5.02,4.77
LOC410864,44.04,39.71,19.97,17.58,32.86,21.50,6.79,18.76,7.92,35.85,19.81,16.33,23.90,49.45,20.36,27.84,21.76,28.08,37.23,48.32,59.78,24.14,20.28,18.87,16.41
LOC410865,5.83,8.69,27.04,5.09,4.74,3.81,2.75,1.54,4.78,16.36,5.59,3.77,4.85,19.90,5.03,17.93,15.76,9.16,9.31,20.80,39.46,29.23,9.61,2.98,5.66
LOC410866,0.47,0.79,2.39,0.28,0.25,0.15,0.10,0.16,0.74,1.54,0.59,0.18,0.49,1.11,0.42,2.25,0.34,0.41,0.50,1.24,0.37,2.04,0.57,0.15,0.42
LOC410867,60.62,72.67,91.28,61.41,77.59,72.41,42.68,35.83,58.05,88.99,57.93,42.91,70.00,68.67,20.99,103.14,65.34,63.13,56.38,42.95,59.97,40.59,41.74,34.09,65.71
LOC410869,21.99,20.69,25.69,13.28,12.98,12.93,11.28,14.50,11.67,18.82,20.67,16.40,13.04,28.71,33.42,15.32,27.01,26.88,26.31,47.33,47.74,45.60,24.67,22.10,17.91
Mir10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC725876,4.28,2.14,4.22,2.52,1.16,2.24,3.54,1.06,1.92,4.98,4.19,3.41,1.47,9.66,6.54,4.76,5.24,7.04,7.28,17.28,13.23,13.44,4.74,3.52,2.84
Cyp4g11,18539.85,6891.17,21226.75,24977.86,22049.05,22076.31,19513.04,14517.20,10552.50,15062.04,21463.31,18986.58,19139.22,7259.36,12005.02,30191.40,12991.87,10168.06,28324.81,12030.50,17234.27,8094.72,12565.69,22088.06,12819.85
LOC551259,420.30,337.36,411.92,531.22,970.70,329.82,193.29,91.49,229.58,651.47,376.82,180.31,519.25,421.33,10.50,649.72,135.36,176.86,226.96,160.02,144.99,114.91,277.18,272.01,316.15
LOC411237,4.22,9.46,20.11,5.58,5.93,5.57,4.24,4.58,4.27,4.44,5.58,6.61,4.24,6.77,9.66,8.62,8.34,9.16,10.06,14.51,17.66,12.00,6.82,5.42,5.48
LOC551257,63.28,87.29,56.46,37.29,54.62,42.23,16.50,37.26,19.06,81.40,39.33,28.77,49.25,104.97,40.96,66.46,46.25,63.34,63.60,106.57,110.01,56.26,31.14,43.69,36.12
LOC551256,57.43,81.24,83.89,51.28,55.53,66.77,35.34,63.98,39.59,65.32,75.33,55.58,52.50,52.84,95.87,65.52,75.73,83.10,75.98,97.98,110.86,93.87,70.91,88.46,67.43
LOC551255,49.67,43.44,71.19,36.95,48.65,42.80,19.63,31.30,23.28,41.62,45.69,33.79,53.95,75.19,67.03,33.16,38.51,49.60,32.85,46.79,50.08,55.13,46.17,59.71,35.65
LOC551254,13.87,11.48,36.58,13.62,11.46,10.66,7.71,4.54,6.97,25.95,10.77,9.33,11.58,19.95,33.31,18.94,25.94,20.79,17.58,34.06,61.46,49.57,14.17,7.95,12.09
LOC551252,474.11,154.49,268.04,200.32,301.24,211.67,438.54,164.54,222.46,317.08,242.26,431.63,677.05,698.03,171.71,345.57,209.65,393.07,164.98,216.29,131.08,146.36,359.68,415.14,329.64
LOC551250,74.26,76.78,62.87,170.87,81.30,120.80,117.11,76.17,86.19,45.83,83.29,121.18,179.81,30.29,40.27,42.42,93.10,111.46,59.99,83.35,81.46,78.46,113.99,78.70,120.19
LOC725877,13.27,20.76,14.27,28.27,28.15,19.34,16.59,16.70,16.31,16.99,27.90,22.87,20.80,7.00,16.03,19.72,19.27,23.57,26.13,19.22,16.89,15.71,21.44,21.27,21.64
